Date : 2025-09-13 12:10:57
Directory : /home/moura/projetos/chatwoot/chatwoot
Total : 6224 files,  752144 codes, 10822 comments, 45132 blanks, all 808098 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |      2,097 |    410,397 |          0 |      2,097 |    412,494 |
| Ruby               |      1,768 |     99,525 |      6,004 |     22,573 |    128,102 |
| vue                |        882 |     91,570 |          0 |      8,450 |    100,020 |
| JavaScript         |        883 |     75,752 |      2,627 |      7,354 |     85,733 |
| YAML               |        419 |     43,187 |      1,464 |      3,482 |     48,133 |
| JSON with Comments |         55 |     22,532 |          4 |         61 |     22,597 |
| XML                |         49 |      4,598 |         10 |         38 |      4,646 |
| SCSS               |         40 |      2,537 |        240 |        550 |      3,327 |
| Shell Script       |          6 |        898 |        408 |        226 |      1,532 |
| Markdown           |          9 |        492 |          0 |        175 |        667 |
| HTML               |          4 |        201 |          7 |         19 |        227 |
| TypeScript         |          3 |        153 |         21 |         13 |        187 |
| Docker             |          4 |        121 |         22 |         48 |        191 |
| TOML               |          1 |         60 |         13 |         12 |         85 |
| Properties         |          1 |         51 |          0 |         13 |         64 |
| Makefile           |          1 |         44 |          2 |         17 |         63 |
| Ignore             |          1 |         17 |          0 |          1 |         18 |
| MS SQL             |          1 |          9 |          0 |          3 |         12 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |      6,224 |    752,144 |     10,822 |     45,132 |    808,098 |
| . (Files)                                                                                                                                                    |         32 |     10,827 |        115 |      2,746 |     13,688 |
| .circleci                                                                                                                                                    |          2 |        174 |          8 |         22 |        204 |
| .dependabot                                                                                                                                                  |          1 |         23 |          0 |          1 |         24 |
| .devcontainer                                                                                                                                                |          5 |        110 |         21 |         28 |        159 |
| .devcontainer (Files)                                                                                                                                        |          4 |         98 |         19 |         25 |        142 |
| .devcontainer/scripts                                                                                                                                        |          1 |         12 |          2 |          3 |         17 |
| .github                                                                                                                                                      |         21 |        986 |         55 |        191 |      1,232 |
| .github (Files)                                                                                                                                              |          2 |         23 |          0 |         12 |         35 |
| .github/ISSUE_TEMPLATE                                                                                                                                       |          3 |        114 |          0 |          3 |        117 |
| .github/workflows                                                                                                                                            |         16 |        849 |         55 |        176 |      1,080 |
| .qlty                                                                                                                                                        |          3 |         70 |         13 |         14 |         97 |
| .qlty (Files)                                                                                                                                                |          1 |         60 |         13 |         12 |         85 |
| .qlty/configs                                                                                                                                                |          2 |         10 |          0 |          2 |         12 |
| .windsurf                                                                                                                                                    |          1 |         60 |          0 |         16 |         76 |
| .windsurf/rules                                                                                                                                              |          1 |         60 |          0 |         16 |         76 |
| __mocks__                                                                                                                                                    |          1 |          1 |          0 |          1 |          2 |
| app                                                                                                                                                          |      4,649 |    589,573 |      6,096 |     25,249 |    620,918 |
| app/actions                                                                                                                                                  |          2 |        139 |         16 |         48 |        203 |
| app/assets                                                                                                                                                   |         26 |        908 |        193 |        251 |      1,352 |
| app/assets/config                                                                                                                                            |          1 |          0 |          5 |          1 |          6 |
| app/assets/javascripts                                                                                                                                       |          1 |         34 |          2 |         10 |         46 |
| app/assets/stylesheets                                                                                                                                       |         24 |        874 |        186 |        240 |      1,300 |
| app/assets/stylesheets/administrate                                                                                                                          |         24 |        874 |        186 |        240 |      1,300 |
| app/assets/stylesheets/administrate (Files)                                                                                                                  |          2 |         42 |          1 |         14 |         57 |
| app/assets/stylesheets/administrate/base                                                                                                                     |          5 |        215 |          0 |         42 |        257 |
| app/assets/stylesheets/administrate/components                                                                                                               |         11 |        308 |          0 |         55 |        363 |
| app/assets/stylesheets/administrate/library                                                                                                                  |          3 |         54 |          9 |         16 |         79 |
| app/assets/stylesheets/administrate/reset                                                                                                                    |          1 |        190 |        165 |         94 |        449 |
| app/assets/stylesheets/administrate/utilities                                                                                                                |          2 |         65 |         11 |         19 |         95 |
| app/builders                                                                                                                                                 |         28 |      1,481 |        101 |        360 |      1,942 |
| app/builders (Files)                                                                                                                                         |          7 |        329 |         50 |         87 |        466 |
| app/builders/campaigns                                                                                                                                       |          1 |         35 |          1 |          8 |         44 |
| app/builders/csat_surveys                                                                                                                                    |          1 |         22 |          0 |          7 |         29 |
| app/builders/messages                                                                                                                                        |          6 |        511 |         37 |        125 |        673 |
| app/builders/messages (Files)                                                                                                                                |          1 |        131 |         12 |         33 |        176 |
| app/builders/messages/facebook                                                                                                                               |          1 |        125 |         13 |         20 |        158 |
